Tweet,Sentiment
"RT @thehill: Comedian who allegedly prank-called Trump: If I duped Jared Kushner, so did the Russians https://t.co/DiCeGg544J https://t.co/…",Negative
RT @funder: BREAKING: Trump denied Annapolis Mayor Gavin Buckley's request to lower American flags to half staff in honor of the fatal shoo…,Negative
"Trump lawyer Michael Cohen says his family, not the president, is his first loyalty https://t.co/DnkpyxFPFl",Positive
@tinylulo @realDonaldTrump Obvious a paid troll and English is not his first language. Get lost.,Positive
"RT @shannoncoulter: .@Macys Ivanka Trump is a prominent member of an administration that forcibly separated 2,000+ children from their pare…",Positive
@realDonaldTrump You push us to the brink of war with NK then you meet with Kim give him exactly what he wants for… https://t.co/8izL07mdJf,Positive
@cspanwj The New York Socialist is a Fake any Melenial that buys into this Crap is just as Stupid as their Parents… https://t.co/9hQbLIdPgu,Negative
@marcorubio Has there ever been good news associated with trump name...no,Positive
RT @RealJamesWoods: #ByeBye #FakeNewsNinja https://t.co/uCDqQsYTVu,Neutral
RT @FoxNews: OPINION: Trump's birthday gift to America - A booming economy https://t.co/YA10g2OtlV,Neutral
